"domain","Predictor","param1","p1_0","p1_val","param2","p2_0","p2_val","param3","p3_0","p3_val","Fixed_Effect","AIC","BIC","R_squared","Log_Likelihood","N_Observations","R_squared_CI_lower","R_squared_CI_upper"
"foods","multimodaldelta","alpha","1","0","rise","1","0","fall","0","25",0.345717019137063,1238.19202793379,1261.66504499587,0.28945201219242,-615.096013966896,2613,0.276333456911678,0.33772335340718
"foods","multimodaldelta","alpha","1","0","rise","1","0","fall","0","5",0.340531029256723,1207.44173914297,1230.91475620505,0.300660075532249,-599.720869571484,2613,0.287204587809669,0.348405202461677
"foods","multimodaldelta","alpha","1","0","rise","1","0","fall","0","75",0.332043922014603,1198.67237587121,1222.14539293329,0.299272478616919,-595.336187935606,2613,0.285673561675751,0.34850012926861
"foods","multimodaldelta","alpha","1","0","rise","1","0","fall","1","0",0.305003808597756,1303.20189161337,1326.67490867545,0.274148679988545,-647.600945806685,2613,0.261586367551901,0.322476870326079
"occupations","simdrop",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.209835541001186,1039.02100014058,1061.28210126817,0.170248393232673,-515.510500070288,1930,0.163465438289716,0.231628879835693
"occupations","multimodal","alpha","0","0",NA,NA,NA,NA,NA,NA,0.0475145386604499,1271.53495256373,1293.79605369132,0.0558121640435111,-631.767476281864,1930,0.0601196622538155,0.111623721732852
"occupations","multimodal","alpha","0","1",NA,NA,NA,NA,NA,NA,0.105153519256315,1223.62592007921,1245.88702120681,0.0799062731238353,-607.812960039607,1930,0.0834860058130124,0.138744021052456
"occupations","multimodal","alpha","0","2",NA,NA,NA,NA,NA,NA,0.114111227878014,1213.30351401526,1235.56461514285,0.084743558860453,-602.651757007629,1930,0.0863124372411612,0.140839231371934
"occupations","multimodal","alpha","0","30000000000000004",NA,NA,NA,NA,NA,NA,0.134560105683915,1185.75231113472,1208.01341226232,0.0979236830560243,-588.87615556736,1930,0.0975642845347118,0.156890651335845
"occupations","multimodal","alpha","0","4",NA,NA,NA,NA,NA,NA,0.150829034816781,1160.11375136654,1182.37485249414,0.110314494374593,-576.056875683271,1930,0.10774367510502,0.171226972078858
"occupations","multimodal","alpha","0","5",NA,NA,NA,NA,NA,NA,0.176898933950717,1111.99055101488,1134.25165214248,0.133472482908779,-551.995275507442,1930,0.130876477319172,0.192125798820972
"occupations","multimodal","alpha","0","6000000000000001",NA,NA,NA,NA,NA,NA,0.190716371032986,1082.89457843062,1105.15567955822,0.149290055595678,-537.44728921531,1930,0.142808900619082,0.207931201881361
"occupations","multimodal","alpha","0","7000000000000001",NA,NA,NA,NA,NA,NA,0.19694624026641,1068.87212381982,1091.13322494741,0.15518765328143,-530.436061909908,1930,0.149637660615022,0.215970326352815
"occupations","multimodal","alpha","0","8",NA,NA,NA,NA,NA,NA,0.203030111230721,1054.71504163219,1076.97614275979,0.161359399957665,-523.357520816097,1930,0.157916947093286,0.222455252118272
"occupations","multimodal","alpha","0","9",NA,NA,NA,NA,NA,NA,0.209858143052864,1038.05858799158,1060.31968911917,0.170776052775778,-515.029293995789,1930,0.163861774311489,0.23239379492576
"occupations","multimodal","alpha","1","0",NA,NA,NA,NA,NA,NA,0.209835541001186,1039.02100014058,1061.28210126817,0.170248393232673,-515.510500070288,1930,0.165571745796686,0.233300801169249
